Iteration	Posterior	Likelihood	Prior	beta	branchGC[1]	branchGC[2]	branchGC[3]	branchGC[4]	branchGC[5]	branchGC[6]	branchGC[7]	branchGC[8]	branchGC[9]	branchGC[10]	branchGC[11]	branchGC[12]	branchGC[13]	branchGC[14]	branchGC[15]	branchGC[16]	branchGC[17]	branchGC[18]	branchGC[19]	branchGC[20]	branchGC[21]	branchGC[22]	branchGC[23]	branchGC[24]	branchGC[25]	branchGC[26]	branchGC[27]	branchGC[28]	branchGC[29]	branchGC[30]	branchGC[31]	branchGC[32]	branchGC[33]	branchGC[34]	branchGC[35]	branchGC[36]	branchGC[37]	branchGC[38]	branchGC[39]	branchGC[40]	branchGC[41]	branchGC[42]	branchGC[43]	branchGC[44]	branchGC[45]	branchGC[46]	branchGC[47]	branchGC[48]	branchGC[49]	branchGC[50]	branchGC[51]	branchGC[52]	branchGC[53]	branchGC[54]	branchGC[55]	branchGC[56]	branchGC[57]	branchGC[58]	branchGC[59]	branchGC[60]	branchGC[61]	branchGC[62]	branchGC[63]	branchGC[64]	freqA	freqC	freqG	freqT	kappa	nodeGC[1]	nodeGC[2]	nodeGC[3]	nodeGC[4]	nodeGC[5]	nodeGC[6]	nodeGC[7]	nodeGC[8]	nodeGC[9]	nodeGC[10]	nodeGC[11]	nodeGC[12]	nodeGC[13]	nodeGC[14]	nodeGC[15]	nodeGC[16]	nodeGC[17]	nodeGC[18]	nodeGC[19]	nodeGC[20]	nodeGC[21]	nodeGC[22]	nodeGC[23]	nodeGC[24]	nodeGC[25]	nodeGC[26]	nodeGC[27]	nodeGC[28]	nodeGC[29]	nodeGC[30]	nodeGC[31]	nodeGC[32]	nodeGC[33]	nodeGC[34]	nodeGC[35]	nodeGC[36]	nodeGC[37]	nodeGC[38]	nodeGC[39]	nodeGC[40]	nodeGC[41]	nodeGC[42]	nodeGC[43]	nodeGC[44]	nodeGC[45]	nodeGC[46]	nodeGC[47]	nodeGC[48]	nodeGC[49]	nodeGC[50]	nodeGC[51]	nodeGC[52]	nodeGC[53]	nodeGC[54]	nodeGC[55]	nodeGC[56]	nodeGC[57]	nodeGC[58]	nodeGC[59]	nodeGC[60]	nodeGC[61]	nodeGC[62]	nodeGC[63]	nodeGC[64]	nodeGC[65]	nodeLogitGC[34]	nodeLogitGC[35]	nodeLogitGC[36]	nodeLogitGC[37]	nodeLogitGC[38]	nodeLogitGC[39]	nodeLogitGC[40]	nodeLogitGC[41]	nodeLogitGC[42]	nodeLogitGC[43]	nodeLogitGC[44]	nodeLogitGC[45]	nodeLogitGC[46]	nodeLogitGC[47]	nodeLogitGC[48]	nodeLogitGC[49]	nodeLogitGC[50]	nodeLogitGC[51]	nodeLogitGC[52]	nodeLogitGC[53]	nodeLogitGC[54]	nodeLogitGC[55]	nodeLogitGC[56]	nodeLogitGC[57]	nodeLogitGC[58]	nodeLogitGC[59]	nodeLogitGC[60]	nodeLogitGC[61]	nodeLogitGC[62]	nodeLogitGC[63]	nodeLogitGC[64]	nodeLogitGC[65]	nodelogT[34]	nodelogT[35]	nodelogT[36]	nodelogT[37]	nodelogT[38]	nodelogT[39]	nodelogT[40]	nodelogT[41]	nodelogT[42]	nodelogT[43]	nodelogT[44]	nodelogT[45]	nodelogT[46]	nodelogT[47]	nodelogT[48]	nodelogT[49]	nodelogT[50]	nodelogT[51]	nodelogT[52]	nodelogT[53]	nodelogT[54]	nodelogT[55]	nodelogT[56]	nodelogT[57]	nodelogT[58]	nodelogT[59]	nodelogT[60]	nodelogT[61]	nodelogT[62]	nodelogT[63]	nodelogT[64]	nodelogT[65]	rootFreq[1]	rootFreq[2]	rootFreq[3]	rootFreq[4]	sigma_GC	sigma_T
0	-1.83169e+08	-1.831691e+08	96.6156	9.355052	0.4302938	0.4361306	0.4411796	0.4459279	0.3734833	0.3417863	0.355506	0.362765	0.4204301	0.3524303	0.3545883	0.3722144	0.3335273	0.3457563	0.3240002	0.3422547	0.3590046	0.3494806	0.3566161	0.4158765	0.4308992	0.3435366	0.3408666	0.456318	0.457727	0.4582695	0.4379441	0.4132883	0.4004463	0.4359188	0.4320278	0.4414158	0.4450163	0.02471724	0.02106122	0.02120761	0.02099798	0.03737069	0.06003467	0.06813413	0.06832905	0.04255906	0.03417189	0.03674075	0.02818621	0.01052469	0.0126894	0.008567439	0.01010658	0.005220287	0.006959757	0.01111132	0.0156867	0.01773148	0.01846525	0.01970458	0.02304184	0.02454955	0.02098427	0.0214379	0.02117702	0.02921377	0.02248699	0.02416502	0.4886648	0.01133519	0.01133519	0.4886648	0.9702924	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.03034455	0.02303251	0.01908993	0.01867066	0.02332529	0.06904309	0.05102625	0.08524201	0.05141609	0.0285643	0.03977948	0.03370203	0.0079401	0.01310927	0.004865342	0.01226954	0.004464687	0.005975886	0.007943628	0.01427901	0.01836856	0.0170944	0.01545793	0.02395124	0.02696666	0.02213244	0.0198361	0.02303971	0.03911321	0.01931432	0.02565966	0.02267039	-3.464324	-3.747547	-3.93932	-3.961955	-3.734615	-2.601482	-2.923041	-2.373165	-2.915019	-3.526617	-3.183812	-3.355914	-4.827858	-4.32124	-5.320741	-4.38829	-5.407081	-5.114029	-4.82741	-4.234582	-3.978576	-4.051762	-4.154055	-3.707493	-3.585817	-3.78833	-3.900216	-3.747227	-3.201396	-3.927405	-3.636841	-3.763764	16.92808	16.90543	16.87757	16.88033	16.9017	17.0223	16.98973	17.04054	16.98796	16.93142	16.95911	16.94114	16.79581	16.85218	16.73944	16.8426	16.7432	16.77168	16.7995	16.85333	16.88981	16.86991	16.85835	16.9017	16.9197	16.89543	16.88644	16.90501	16.96129	16.88466	16.91375	16.89731	0.488665	0.0113352	0.0113352	0.488665	0.0943346	0.1457671
10	-3.716667e+07	-3.6978e+07	-188673.4	8.015374	0.4310894	0.4392836	0.4443326	0.4485495	0.3741912	0.3424942	0.3559499	0.3632089	0.4223868	0.3533428	0.3555008	0.3725326	0.3337026	0.3459316	0.3240549	0.3423094	0.3599595	0.3497129	0.3568484	0.416266	0.4326299	0.3445954	0.3419254	0.4612772	0.4610653	0.4616078	0.4425638	0.4156587	0.4028167	0.4373159	0.4334249	0.443515	0.4471155	0.02727617	0.02291813	0.02284442	0.02454537	0.04537952	0.06799262	0.07771303	0.08012004	0.05336537	0.0369613	0.04244597	0.03354156	0.01171188	0.01418492	0.009162895	0.0111483	0.005713724	0.007778963	0.01200183	0.01792649	0.02049428	0.02041614	0.02210526	0.02546384	0.02572272	0.02155014	0.02416009	0.02459266	0.03316077	0.02407655	0.02634136	0.487284	0.012716	0.012716	0.487284	0.2520292	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.03454294	0.02582686	0.0200094	0.0234113	0.02567943	0.07571966	0.06026558	0.09516047	0.0650796	0.0306818	0.0432408	0.04165113	0.008404818	0.01501895	0.004974898	0.01335089	0.004815238	0.00661221	0.008945716	0.01505794	0.02019352	0.02079504	0.01634589	0.02786463	0.0283824	0.02306305	0.02003723	0.02828294	0.04541915	0.02090238	0.02725071	0.025432	-3.330399	-3.630174	-3.891341	-3.730847	-3.63605	-2.501978	-2.746836	-2.252193	-2.66485	-3.452923	-3.096767	-3.135883	-4.77051	-4.18331	-5.298363	-4.302731	-5.331143	-5.012203	-4.707595	-4.180677	-3.881994	-3.852027	-4.097298	-3.552137	-3.533193	-3.746191	-3.889922	-3.536806	-3.045338	-3.846768	-3.575047	-3.645986	16.52757	15.82235	16.71139	15.56181	16.57435	16.06738	15.79626	16.91618	16.6523	16.12932	15.56306	16.8199	15.66288	15.57796	15.79668	16.45266	15.61748	16.06184	16.3549	15.42966	15.99687	16.86991	15.12437	14.1442	15.55937	16.25586	16.72102	15.87925	15.38672	16.31402	16.44224	16.72553	0.487284	0.012716	0.012716	0.487284	0.1645941	0.5611565
20	-4336870	-4274274	-62595.82	6.841511	0.432825	0.4409567	0.4460057	0.4480851	0.3773278	0.3456308	0.3579571	0.3652161	0.4238094	0.3539191	0.3560771	0.3731479	0.3339236	0.3461526	0.324909	0.3431635	0.3605671	0.3503307	0.3574662	0.4164909	0.4351206	0.3481574	0.3454874	0.4716111	0.4734679	0.4740104	0.444902	0.4193689	0.4065269	0.437981	0.43409	0.4457992	0.4493997	0.02967613	0.02369891	0.02554651	0.03084196	0.04900832	0.08273336	0.09038504	0.09149628	0.05827906	0.04301399	0.04880796	0.04151079	0.01293729	0.0165189	0.01174337	0.01330179	0.00654993	0.008821336	0.01265389	0.01939864	0.02231782	0.02211401	0.02553498	0.02766366	0.02963658	0.02277805	0.02414643	0.0251459	0.03585149	0.02682975	0.03217492	0.4831861	0.01681395	0.01681395	0.4831861	0.2520292	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.03911145	0.02715702	0.0202408	0.03083172	0.03085221	0.1005247	0.06494197	0.1158281	0.06716444	0.03780574	0.04822224	0.04939369	0.00964045	0.01623412	0.006683064	0.01680367	0.005257103	0.007842757	0.009799914	0.01550787	0.02134623	0.02328941	0.02036012	0.03070984	0.03465568	0.02461748	0.02093861	0.02735424	0.04876542	0.02293757	0.03072194	0.0336279	-3.201443	-3.578587	-3.879606	-3.447894	-3.447209	-2.191408	-2.667114	-2.032544	-2.631085	-3.236755	-2.982511	-2.957277	-4.6321	-4.104273	-5.001473	-4.069211	-5.242904	-4.840291	-4.615533	-4.150778	-3.825303	-3.736191	-3.873607	-3.451981	-3.327023	-3.679373	-3.844999	-3.571148	-2.970739	-3.751775	-3.451574	-3.358193	14.05423	14.68824	16.18378	14.40061	16.21612	14.74917	15.79626	16.4354	16.36451	14.48124	15.27123	15.93557	13.48674	15.37446	14.75196	16.13826	14.07878	14.99066	15.78504	14.62503	14.57008	15.54331	13.95195	12.47251	15.41803	15.58213	15.52082	15.45695	14.09238	15.88416	16.02478	16.47676	0.483186	0.0168139	0.0168139	0.483186	0.3759173	3.75694
30	-238428.2	-233084.5	-5343.657	4.464403	0.4332043	0.4477408	0.4527898	0.4484535	0.3781685	0.3464715	0.3597909	0.3670499	0.4252491	0.3561279	0.3582859	0.3741526	0.3342829	0.3465119	0.3256404	0.3438949	0.3617657	0.3513251	0.3584606	0.4170801	0.4374475	0.3501353	0.3474653	0.4756929	0.4776266	0.4781691	0.4488093	0.4212978	0.4084558	0.4390003	0.4351093	0.4453934	0.4489939	0.0305386	0.02598656	0.02796276	0.0339188	0.05363681	0.0907994	0.09837423	0.09905872	0.06346653	0.04731878	0.05284177	0.04520783	0.01513025	0.01883478	0.01359203	0.01462158	0.007914023	0.01002855	0.01344558	0.02206884	0.02660767	0.02447402	0.02880857	0.0308424	0.03221632	0.02479607	0.02479376	0.02715869	0.04428002	0.02885349	0.03454436	0.4811959	0.01880409	0.01880409	0.4811959	0.2823832	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.03829973	0.02919565	0.02277747	0.03468954	0.03314805	0.1088422	0.07275658	0.1239919	0.07412557	0.04176151	0.05287604	0.0528075	0.01162915	0.01863134	0.008145848	0.01903822	0.005975892	0.009852155	0.01020495	0.01668622	0.02576389	0.02745146	0.02402789	0.03358925	0.03633709	0.02809555	0.02149658	0.02809094	0.0623336	0.02622644	0.03148055	0.03760817	-3.22326	-3.504105	-3.758943	-3.326012	-3.373061	-2.102622	-2.545097	-1.955159	-2.524978	-3.133121	-2.88548	-2.886849	-4.442543	-3.964103	-4.802068	-3.942085	-5.114028	-4.610164	-4.574625	-4.076345	-3.63268	-3.567501	-3.704219	-3.359383	-3.277903	-3.543646	-3.81813	-3.543815	-2.710894	-3.614411	-3.426399	-3.2422	12.98468	13.733	16.00369	12.24183	15.40614	13.63889	13.93568	15.25383	15.80177	11.82254	14.65056	15.59985	12.43881	14.8912	14.23499	14.90814	12.77245	13.78211	14.70314	13.95182	14.07875	14.66993	12.73772	12.29868	14.36707	14.84121	15.46133	14.86095	13.09079	15.57621	15.65305	15.76294	0.481196	0.0188041	0.0188041	0.481196	1.076879	14.66757
40	-55333.8	-54790.36	-543.4387	3.781426	0.4341377	0.4478646	0.4529136	0.4494426	0.3824258	0.3507288	0.360835	0.368094	0.4266837	0.3580837	0.3602417	0.3748745	0.3344532	0.3466822	0.325863	0.3441175	0.3635657	0.3514968	0.3586323	0.4188217	0.4385181	0.3529567	0.3502867	0.4826908	0.4870109	0.4875534	0.4531483	0.4234639	0.4106219	0.4404578	0.4365668	0.446613	0.4502135	0.03112814	0.02681397	0.02882405	0.03757635	0.05953293	0.1045227	0.1097111	0.1104613	0.07038178	0.05121078	0.05642285	0.05124887	0.01710196	0.02200815	0.01518796	0.01644641	0.008806196	0.01120195	0.01563863	0.02742418	0.03217721	0.02952738	0.03128718	0.03217162	0.03636821	0.02613033	0.02722255	0.02972362	0.0459796	0.03136263	0.03900825	0.4776654	0.02233459	0.02233459	0.4776654	0.2823832	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.04073904	0.03211069	0.02151725	0.03902185	0.03613085	0.1276108	0.08143464	0.1379876	0.08293502	0.04740441	0.05501715	0.05782855	0.0119726	0.02223133	0.008590959	0.02178497	0.006316335	0.01129606	0.01110785	0.02016941	0.02967548	0.03467895	0.02611599	0.03645838	0.04485156	0.02788485	0.02437581	0.03006929	0.06258126	0.02937794	0.03334732	0.04466919	-3.158976	-3.405929	-3.817148	-3.20383	-3.283808	-1.922251	-2.423012	-1.832105	-2.403121	-3.000475	-2.843522	-2.790705	-4.41309	-3.783771	-4.748417	-3.804509	-5.05828	-4.471941	-4.488933	-3.883212	-3.48731	-3.326328	-3.618745	-3.274444	-3.058508	-3.551391	-3.689486	-3.47372	-2.706664	-3.497693	-3.366862	-3.062774	11.95251	11.82519	14.84537	10.73626	15.40614	12.29823	11.72179	13.51061	14.71193	11.10827	14.21393	14.93199	11.93348	14.35083	13.67893	14.50828	11.76511	12.756	13.55937	13.88805	13.46898	14.3208	11.77798	10.93457	13.60998	14.18552	14.62884	14.51998	11.67359	14.54273	14.81944	14.79495	0.477665	0.0223346	0.0223346	0.477665	3.461655	14.66757
50	-43951.62	-43738.28	-213.3308	2.51106	0.4339358	0.4506009	0.4556499	0.4488476	0.3833909	0.3516939	0.3651246	0.3723836	0.4278301	0.3595674	0.3617254	0.3753639	0.334287	0.346516	0.3260676	0.3443221	0.3640331	0.3519434	0.3590789	0.4197768	0.4416081	0.3551996	0.3525296	0.4853335	0.4858851	0.4864276	0.4608166	0.4242749	0.4114329	0.4389211	0.4350301	0.4510946	0.4546951	0.03504334	0.0247108	0.02884276	0.03897243	0.06795759	0.1110652	0.1200221	0.1209436	0.07832867	0.05654367	0.05962015	0.05418173	0.01801603	0.02282519	0.01574212	0.01715912	0.009129403	0.0120545	0.01695685	0.02926086	0.03454247	0.03179302	0.03672314	0.03437986	0.03839519	0.02857622	0.02801151	0.03178031	0.05136766	0.03381251	0.04163191	0.4748399	0.02516014	0.02516014	0.4748399	0.2733884	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.04970218	0.0290371	0.0203845	0.04064384	0.03730101	0.1253592	0.09677123	0.143273	0.09861416	0.05189022	0.06119713	0.05804317	0.01286576	0.02316629	0.009000156	0.02248408	0.005983975	0.01227483	0.01183416	0.02207954	0.03264276	0.03644218	0.03469512	0.03875115	0.04678181	0.03000857	0.02714387	0.02887914	0.06805385	0.03468147	0.03294355	0.05032028	-2.950727	-3.509714	-3.872385	-3.161415	-3.25072	-1.94263	-2.233626	-1.788368	-2.212718	-2.90534	-2.730505	-2.786772	-4.340236	-3.741618	-4.701472	-3.772207	-5.112668	-4.387854	-4.42486	-3.790777	-3.388945	-3.274906	-3.325845	-3.211073	-3.014349	-3.475804	-3.579085	-3.515331	-2.616976	-3.326252	-3.379462	-2.937717	11.77129	10.85791	14.26274	10.01628	14.83059	11.55818	10.79153	12.13835	14.27412	10.13611	14.14096	14.77107	11.32279	12.4849	12.33361	12.89998	11.51972	11.55871	13.34928	13.38572	11.37642	13.99014	11.33724	9.407391	12.20582	14.48523	13.73152	13.73245	10.46719	13.87233	14.44629	14.68732	0.47484	0.0251601	0.0251601	0.47484	20.74508	12.71345
60	-43653.51	-43440.43	-213.0858	0.8397092	0.4327805	0.4523461	0.4573951	0.4485172	0.3836802	0.3519832	0.368049	0.375308	0.4288828	0.3660034	0.3681614	0.375147	0.3345412	0.3467702	0.3262023	0.3444568	0.3667396	0.3520361	0.3591716	0.4202438	0.4421394	0.3593376	0.3566676	0.4931684	0.4909894	0.4915319	0.4662228	0.4258613	0.4130193	0.4387991	0.4349081	0.454926	0.4585265	0.03888985	0.02460391	0.02835072	0.04005174	0.06754459	0.1215757	0.1332632	0.1288726	0.08004238	0.06121298	0.0617711	0.05778731	0.02081518	0.0265123	0.01685748	0.01814557	0.009166686	0.01184334	0.01742965	0.03068783	0.04193848	0.03346045	0.04070032	0.03792144	0.04117335	0.03177252	0.0283886	0.0334866	0.05514954	0.03469393	0.04246263	0.4728539	0.0271461	0.0271461	0.4728539	0.2907359	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.05736507	0.02879319	0.02041462	0.04381665	0.03628683	0.1355679	0.1075836	0.1589429	0.09880235	0.06016616	0.0622598	0.06128241	0.01305119	0.02857918	0.009269543	0.02444542	0.006492416	0.01184096	0.01184573	0.02301357	0.04551488	0.03836208	0.04054398	0.04085666	0.04736049	0.03498622	0.02855881	0.02821839	0.07154428	0.0387548	0.03063306	0.0542922	-2.799243	-3.5184	-3.870878	-3.082936	-3.279339	-1.8526	-2.115665	-1.666115	-2.210603	-2.748593	-2.712157	-2.729022	-4.325739	-3.526081	-4.671708	-3.686563	-5.030607	-4.424279	-4.423872	-3.748389	-3.043133	-3.221569	-3.163979	-3.155971	-3.001448	-3.317188	-3.526815	-3.539157	-2.563206	-3.210975	-3.454563	-2.857553	12.48882	10.31884	14.95694	9.856519	15.22989	10.68825	11.51076	13.3153	14.16823	9.879396	15.40876	14.73358	9.757249	10.46773	12.06098	12.37529	10.47959	11.87279	12.9302	12.84331	13.65836	14.18974	11.34949	9.361476	12.71686	14.52902	14.44627	12.81613	9.307664	14.24739	14.66997	16.00215	0.472854	0.0271461	0.0271461	0.472854	22.13274	12.70439
70	-43267.45	-43074.57	-192.8842	-0.1196261	0.4337718	0.4537505	0.4587995	0.4497625	0.3857339	0.3540369	0.3646722	0.3719312	0.4296071	0.368857	0.371015	0.3754317	0.334986	0.347215	0.3262657	0.3445202	0.3693537	0.3516866	0.3588221	0.4212113	0.4458032	0.3609455	0.3582755	0.5039217	0.4994112	0.4999537	0.4700604	0.4289614	0.4161194	0.4395216	0.4356306	0.4582933	0.4618938	0.04213065	0.02519995	0.02769629	0.04262388	0.06884647	0.1338351	0.1478541	0.1414557	0.08529376	0.06648468	0.06885644	0.06621887	0.02307972	0.02941801	0.01721255	0.01860272	0.00989617	0.01229355	0.01856266	0.03346142	0.04659815	0.03397813	0.03804779	0.03928582	0.04386711	0.0311242	0.02834547	0.03550903	0.05733102	0.03646232	0.04846391	0.4678439	0.03215614	0.03215614	0.4678439	0.3048977	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.06409962	0.03023822	0.02016168	0.05001686	0.03523089	0.1524114	0.1152588	0.1804494	0.1024621	0.06338196	0.0695874	0.06812547	0.01235212	0.03380733	0.00939642	0.02502868	0.007381995	0.01241035	0.01217675	0.02494857	0.05122201	0.04197428	0.03379035	0.04230523	0.05146782	0.03626641	0.02598199	0.03070896	0.07435294	0.04030911	0.03261554	0.06431227	-2.681071	-3.467944	-3.883604	-2.944084	-3.309965	-1.715812	-2.038116	-1.513306	-2.170163	-2.693096	-2.593045	-2.615847	-4.381499	-3.352686	-4.657986	-3.662385	-4.901302	-4.376737	-4.395975	-3.665674	-2.919005	-3.127818	-3.353206	-3.119618	-2.913959	-3.279923	-3.624026	-3.45201	-2.52167	-3.170034	-3.389807	-2.677531	11.39103	10.41847	15.39465	10.08762	14.82796	10.38951	12.00455	12.38743	13.87615	10.44394	14.87205	14.90294	10.55427	8.791982	11.31315	12.08714	9.557441	11.41629	14.56722	13.05035	11.67373	13.93515	12.52764	8.816707	12.19007	15.6967	14.26812	12.25727	8.730777	14.29954	16.37296	15.75313	0.467844	0.0321561	0.0321561	0.467844	14.38859	12.19532
80	-43024.54	-42864.89	-159.6456	-0.5891641	0.435321	0.4510967	0.4561457	0.4508443	0.3857263	0.3540293	0.3657908	0.3730498	0.430888	0.3703849	0.3725429	0.3750886	0.3349034	0.3471324	0.3263979	0.3446524	0.3703679	0.3517324	0.3588679	0.4213198	0.4474159	0.3663942	0.3637242	0.5058185	0.4985868	0.4991293	0.4715083	0.432107	0.419265	0.4418112	0.4379202	0.4598301	0.4634306	0.04485644	0.0286785	0.0301642	0.04704836	0.07279682	0.1344586	0.1511988	0.1460239	0.09261901	0.07354617	0.07512299	0.07317754	0.02413979	0.03006399	0.01697645	0.01898384	0.00947047	0.01269983	0.01942059	0.03600334	0.05055941	0.03869531	0.04044735	0.04090783	0.04420061	0.03374907	0.03171105	0.0422083	0.06029471	0.04362903	0.05231797	0.465539	0.03446098	0.03446098	0.465539	0.3081027	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.0671732	0.03481731	0.02253968	0.05630799	0.03778873	0.1507626	0.1181547	0.184243	0.1078049	0.07427946	0.07281287	0.07743311	0.01244374	0.03583585	0.009660755	0.02429214	0.007216833	0.01172411	0.01367554	0.02516564	0.05427777	0.04684104	0.03602761	0.0448671	0.05145264	0.03694857	0.03054957	0.03287253	0.06904535	0.05154407	0.03571398	0.06892197	-2.630945	-3.322203	-3.76968	-2.818963	-3.237223	-1.728632	-2.010022	-1.487861	-2.113362	-2.522738	-2.544263	-2.477745	-4.374016	-3.292313	-4.629976	-3.693011	-4.924096	-4.434315	-4.278376	-3.656788	-2.857834	-3.013022	-3.286777	-3.058146	-2.91427	-3.26058	-3.457379	-3.381693	-2.601447	-2.912398	-3.295846	-2.603368	10.99273	12.23309	14.21436	8.335093	13.49621	9.779281	12.5764	11.69213	13.70171	10.73934	13.54957	12.95076	8.780873	8.429051	11.05489	11.22931	8.084108	11.45835	14.32412	11.8972	12.78535	14.31192	11.88629	8.966005	10.83694	14.44844	13.41038	13.08626	8.801476	15.05345	15.17598	14.16088	0.465539	0.034461	0.034461	0.465539	3.674798	12.51208
90	-42724.46	-42574.09	-150.367	-0.5599513	0.4351343	0.4536189	0.4586679	0.4522605	0.3853275	0.3536305	0.3650878	0.3723468	0.4306292	0.3693416	0.3714996	0.3758032	0.3353097	0.3475387	0.3261837	0.3444382	0.3751867	0.3521608	0.3592963	0.4219887	0.4548023	0.375061	0.372391	0.5144992	0.4967758	0.4973183	0.4717412	0.4332467	0.4204047	0.4429712	0.4390802	0.4606778	0.4642783	0.04571903	0.02985342	0.03165655	0.04966551	0.07833194	0.1328804	0.1601124	0.1587623	0.1024745	0.08959927	0.08830714	0.08385295	0.0293869	0.03576896	0.01764848	0.02018394	0.0105914	0.01372835	0.0204033	0.03727748	0.05012146	0.04053371	0.03948545	0.04217688	0.04532967	0.03651008	0.03436044	0.04768713	0.06687946	0.04750492	0.05700893	0.4606614	0.03933859	0.03933859	0.4606614	0.3073758	0.834928	0.833148	0.843246	0.868816	0.72	0.656606	0.695554	0.710072	0.816909	0.686492	0.690808	0.738453	0.66259	0.687048	0.643135	0.679644	0.7049	0.691021	0.705292	0.817474	0.822019	0.658509	0.653169	0.827394	0.846411	0.847496	0.824862	0.807906	0.782222	0.848805	0.841023	0.852487	0.859688	0.06886859	0.03713736	0.02256947	0.05858738	0.04074364	0.1471406	0.1186203	0.2016044	0.1159202	0.09161297	0.08758557	0.08902872	0.0133005	0.0454733	0.009232354	0.02606462	0.00802937	0.01315344	0.01430327	0.02650333	0.05219129	0.04805163	0.03462152	0.04434939	0.05065498	0.04000436	0.03301579	0.03570509	0.07408975	0.05966917	0.03534068	0.07867719	-2.6042	-3.255287	-3.768329	-2.776862	-3.158859	-1.757206	-2.00556	-1.376297	-2.031645	-2.294098	-2.343478	-2.325552	-4.306564	-3.04409	-4.675766	-3.620766	-4.816587	-4.317831	-4.232861	-3.603624	-2.899237	-2.986235	-3.328045	-3.070293	-2.930735	-3.17794	-3.377196	-3.296104	-2.5255	-2.757416	-3.30674	-2.460457	10.19768	11.35255	13.14142	8.491244	12.13619	9.876399	12.50401	10.97938	12.73391	10.90427	13.16879	12.33593	9.866323	9.138677	10.00235	11.43863	8.476271	11.20512	13.85081	12.69927	11.97209	14.26085	11.3733	9.378766	11.47696	13.96112	12.30962	13.52447	9.423875	14.5974	15.50565	13.78143	0.460661	0.0393386	0.0393386	0.460661	3.207428	11.54119
